Participant,Enter ID Here

Beatlevelone,False
Beatleveltwo,False
Beatlevelthree,False
Beatlevelfour,False
Beatlevelfive,False
Beatlevelsix,False
Beatlevelseven,False
Beatleveleight,False
BeatGame,False

CureFirst,False
CureAll,False
CureThree,False
CureTen,False
CureOptional,False

KillOne,False
KillTen,False
KillFifty,False

Pacifist,False
Invincible,False
Dedicated,False
Violent,False
TimeTraveler,False
MoonWalker,False

EnemiesKilled,0
CitizensCured,0
CitizensFailed,0
TimesDied,0

BossCitizensCured,0
BossCitizensFailed,0

TotalScore,0
